date,total
1998-07,1
1998-08,2
1998-09,2
1998-10,6
1998-11,4
1998-12,4
1999-01,4
1999-02,1
1999-03,1
1999-04,2
1999-05,6
1999-06,10
1999-07,7
1999-08,2
1999-10,1
1999-11,2
1999-12,2
2000-01,9
2000-02,3
2000-03,1
2000-05,2
2000-06,4
2000-07,1
2000-10,2
2000-12,1
2001-02,1
2001-03,2
2001-04,1
2001-06,3
2001-07,3
2001-08,3
2001-09,22
2001-12,3
2002-03,1
2002-04,2
2002-05,1
2002-06,4
2002-07,1
2002-08,2
2002-10,2
2002-11,4
2003-01,3
2003-04,1
2003-05,2
2003-06,5
2003-07,2
2003-08,1
2003-09,20
2003-10,2
2003-11,2
2003-12,2
2004-01,1
2004-03,6
2004-04,21
2004-05,2
2004-06,2
2004-07,1
2004-08,1
2004-09,2
2004-10,2
2004-11,1
2004-12,30
2005-01,22
2005-02,27
2005-03,70
2005-04,22
2005-05,7
2005-07,9
2005-08,22
2005-09,32
2005-10,14
2005-11,1
2005-12,3
2006-01,4
2006-02,1
2006-03,6
2006-05,4
2006-06,79
2006-07,231
2006-08,7
2006-09,4
2006-10,1
2006-12,8
2007-01,11
2007-02,13
2007-03,19
2007-04,14
2007-05,18
2007-06,6
2007-07,8
2007-08,12
2007-09,13
2007-10,25
2007-11,11
2007-12,9
2008-01,10
2008-02,8
2008-03,32
2008-04,7
2008-05,15
2008-06,10
2008-07,11
2008-08,14
2008-09,17
2008-10,7
2008-11,9
2008-12,22
2009-01,10
2009-02,5
2009-03,16
2009-04,11
2009-05,18
2009-06,13
2009-07,23
2009-08,11
2009-09,20
2009-10,31
2009-11,13
2009-12,44
2010-01,12
2010-02,6
2010-03,8
2010-04,5
2010-05,7
2010-06,3
2010-07,27
2010-08,8
2010-09,2
2010-10,30
2010-11,2
2010-12,15
2011-01,161
2011-02,31
2011-03,6
2011-04,12
2011-05,10
2011-06,27
2011-07,48
2011-08,43
2011-09,25
2011-10,41
2011-11,5
2011-12,8
2012-01,9
2012-02,36
2012-03,20
2012-04,24
2012-05,25
2012-06,16
2012-07,55
2012-08,24
2012-09,21
2012-10,23
2012-11,21
2012-12,16
2013-01,82
2013-02,107
2013-03,62
2013-04,45
